Timestamp;Project;Model;PromptType;Resolution;RunID;TestModule;Repeat;Status;ExecutionTime(sec);TotalTests;TotalTime(sec);MutationType;MutationDescription;ExpectedResult;Match
20250524_120428;medusa;gpt4o;detailed;1024;2;test_login;1;pass;6.3;1;6.75;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;1;test_register;1;pass;6.99;1;7.45;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;2;test_register;1;pass;7.0;1;7.45;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;3;test_register;1;pass;7.33;1;7.77;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;4;test_login;1;pass;6.39;1;6.39;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;4;test_register;1;pass;6.64;1;6.64;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;5;test_login;1;pass;6.33;1;6.33;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;1;test_login;1;pass;6.42;1;6.42;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;2;test_login;1;pass;6.1;1;6.1;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;1;test_register;1;pass;6.42;1;6.43;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;2;test_register;1;pass;6.5;1;6.5;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;3;test_login;1;pass;6.28;1;6.28;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;4;test_login;1;pass;6.22;1;6.22;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;3;test_register;1;pass;6.3;1;6.3;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;4;test_register;1;pass;5.61;1;5.61;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;5;test_login;1;pass;5.66;1;5.66;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;1;test_login;1;pass;5.76;1;5.76;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;768;5;test_register;1;pass;5.94;1;5.94;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;1;test_register;1;pass;6.03;1;6.03;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;2;test_login;1;pass;5.86;1;5.86;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;1024;5;test_register;1;error;25.64;1;25.64;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Mismatch
20250524_120428;medusa;gpt4o;detailed;source;2;test_register;1;pass;5.9;1;5.9;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;4;test_login;1;pass;5.82;1;5.83;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;3;test_login;1;pass;6.18;1;6.18;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;3;test_register;1;pass;6.41;1;6.41;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;4;test_register;1;pass;6.41;1;6.41;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;5;test_login;1;pass;5.63;1;5.63;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;1;test_login;1;pass;5.92;1;5.92;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;detailed;source;5;test_register;1;pass;6.44;1;6.44;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;1;test_register;1;pass;6.77;1;6.77;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;2;test_login;1;pass;5.88;1;5.88;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;4;test_register;1;pass;5.47;1;5.47;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;5;test_login;1;pass;5.33;1;5.33;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;2;test_register;1;pass;34.65;1;34.65;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;3;test_login;1;pass;34.54;1;34.54;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;3;test_register;1;pass;35.24;1;35.24;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;4;test_login;1;pass;34.56;1;34.56;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;1;test_login;1;pass;5.56;1;5.56;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;1;test_register;1;pass;5.61;1;5.61;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;2;test_login;1;pass;5.73;1;5.73;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;2;test_register;1;pass;6.58;1;6.58;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;1024;5;test_register;1;pass;30.57;1;30.58;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;3;test_login;1;pass;5.66;1;5.66;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;3;test_register;1;pass;5.63;1;5.63;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;4;test_login;1;pass;5.84;1;5.84;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;4;test_register;1;pass;5.75;1;5.75;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;5;test_login;1;pass;5.53;1;5.53;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;768;5;test_register;1;pass;6.35;1;6.35;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;1;test_login;1;pass;5.71;1;5.71;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;1;test_register;1;pass;5.79;1;5.79;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;2;test_login;1;pass;5.43;1;5.43;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;2;test_register;1;pass;5.89;1;5.89;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;3;test_login;1;pass;6.32;1;6.32;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;3;test_register;1;pass;6.5;1;6.51;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;4;test_login;1;pass;5.85;1;5.85;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;4;test_register;1;pass;5.71;1;5.71;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;5;test_login;1;pass;5.76;1;5.76;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;2;test_login;1;pass;5.28;1;5.28;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;1;test_register;1;pass;6.76;1;6.77;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;medium;source;5;test_register;1;pass;7.09;1;7.09;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;3;test_login;1;pass;5.06;1;5.06;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;2;test_register;1;pass;6.16;1;6.17;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;4;test_login;1;pass;5.25;1;5.25;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;3;test_register;1;pass;6.27;1;6.27;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;5;test_login;1;pass;5.35;1;5.35;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;4;test_register;1;pass;6.01;1;6.01;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;1024;5;test_register;1;pass;6.65;1;6.66;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;768;1;test_login;1;pass;4.81;1;4.81;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;768;2;test_login;1;pass;4.94;1;4.94;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;768;1;test_register;1;pass;6.4;1;6.4;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;768;2;test_register;1;pass;6.39;1;6.39;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
20250524_120428;medusa;gpt4o;simple;768;3;test_login;1;pass;5.33;1;5.33;RENAME;Renamed buttons - add to cart, sign in, register, account and store button ;pass;Matched
