Timestamp;Project;Model;Model Name;PromptType;Resolution;Resolution Name;RunID;Test Type;TestModule;ReadableName;Status;ExecutionTime(sec);Step count;ErrorType;Manual Check;UpdateStatus
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;2;process;test_filter;Application of filters process;SUCCESS;25.29;3;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;1;process;test_addtocart;Add to cart process;SUCCESS;25.4;9;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;2;process;test_checkout;Checkout process;SUCCESS;29.41;21;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;2;process;test_addtocart;Add to cart process;FAIL;35.59;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;1;process;test_filter;Application of filters process;FAIL;36.83;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;3;process;test_filter;Application of filters process;SUCCESS;19.77;3;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;4;process;test_addtocart;Add to cart process;SUCCESS;15.92;9;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;3;process;test_addtocart;Add to cart process;FAIL;33.64;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;5;process;test_addtocart;Add to cart process;SUCCESS;9.36;9;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;4;process;test_checkout;Checkout process;FAIL;32.62;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;4;process;test_filter;Application of filters process;ERROR;37.46;5;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;5;process;test_checkout;Checkout process;ERROR;28.44;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;1;process;test_filter;Application of filters process;SUCCESS;10.27;5;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;1024;1024x1024;5;process;test_filter;Application of filters process;FAIL;35.15;4;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;1;process;test_addtocart;Add to cart process;FAIL;32.39;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;1;process;test_checkout;Checkout process;ERROR;27.75;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;2;process;test_addtocart;Add to cart process;FAIL;30.96;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;2;process;test_filter;Application of filters process;FAIL;20.6;4;AssertionError;TRUE;MB
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;2;process;test_checkout;Checkout process;ERROR;32.13;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;3;process;test_checkout;Checkout process;ERROR;31.15;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;3;process;test_addtocart;Add to cart process;FAIL;44.11;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;4;process;test_filter;Application of filters process;SUCCESS;20.51;3;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;4;process;test_checkout;Checkout process;ERROR;33.33;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;3;process;test_filter;Application of filters process;FAIL;50.7;4;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;4;process;test_addtocart;Add to cart process;FAIL;44.1;9;AssertionError;TRUE;MB
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;5;process;test_filter;Application of filters process;FAIL;11.21;2;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;5;process;test_addtocart;Add to cart process;FAIL;30.0;1;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;1;process;test_filter;Application of filters process;FAIL;14.14;3;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;768;768x768;5;process;test_checkout;Checkout process;ERROR;27.38;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;2;process;test_addtocart;Add to cart process;SUCCESS;15.13;9;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;1;process;test_addtocart;Add to cart process;ERROR;35.02;9;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;4;process;test_addtocart;Add to cart process;FAIL;8.06;9;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;2;process;test_filter;Application of filters process;FAIL;34.17;4;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;3;process;test_addtocart;Add to cart process;FAIL;30.75;9;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;3;process;test_checkout;Checkout process;ERROR;29.74;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;3;process;test_filter;Application of filters process;FAIL;38.35;4;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;4;process;test_filter;Application of filters process;FAIL;24.15;7;AssertionError;TRUE;MB
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;5;process;test_filter;Application of filters process;FAIL;19.51;5;AssertionError;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;4;process;test_checkout;Checkout process;ERROR;27.81;1;Timeout;FALSE;
20250422_165504;Cezerin;gpt4o;GPT-4o;medium;1024;1024x1024;1;process;test_addtocart;Add to cart process;SUCCESS;10.01;9;OK;OK;
20250422_165504;Cezerin;gpt4o;GPT-4o;simple;source;1920x893;5;process;test_addtocart;Add to cart process;FAIL;37.1;1;AssertionError;FALSE;
