Timestamp;Source;Project;Model;Model Name;PromptType;Resolution;Resolution Name;RunID;Test Type;TestModule;ReadableName;Status;ExecutionTime(sec);Step count;ErrorType;FilePath
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;process;test_addtocart;Add to cart process;ERROR;1.04;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\1\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;process;test_filter;Application of filters process;ERROR;1.04;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\1\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;process;test_addtocart;Add to cart process;ERROR;0.93;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\2\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;process;test_filter;Application of filters process;ERROR;1.74;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\2\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;process;test_register;Registration process;ERROR;3.68;0;NameNotResolved;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;process;test_register;Registration process;ERROR;0.87;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\2\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;process;test_UI;Home page;ERROR;4.45;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\1\test_UI.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;process;test_filter;Application of filters process;ERROR;0.9;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\3\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;process;test_register;Registration process;ERROR;0.83;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\3\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;process;test_addtocart;Add to cart process;ERROR;1.9;0;InvalidURL;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\3\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;process;test_filter;Application of filters process;ERROR;0.83;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\1\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;process;test_login;Authorization process;ERROR;5.96;0;ConnectionRefused;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\3\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;process;test_register;Registration process;ERROR;9.02;0;ConnectionRefused;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;process;test_login;Authorization process;ERROR;24.4;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;process;test_login;Authorization process;FAIL;24.19;1;AssertionError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\simple\2\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;process;test_filter;Application of filters process;ERROR;0.83;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\2\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;process;test_login;Authorization process;ERROR;0.79;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\2\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;process;test_register;Registration process;ERROR;0.82;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\2\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;process;test_addtocart;Add to cart process;ERROR;0.8;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\2\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;process;test_addtocart;Add to cart process;ERROR;24.71;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\1\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;process;test_login;Authorization process;ERROR;22.71;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;process;test_login;Authorization process;ERROR;4.97;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\3\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;process;test_addtocart;Add to cart process;ERROR;0.84;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\1\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;process;test_filter;Application of filters process;LOAD_ERROR;0.0;0;Other;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\1\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;process;test_login;Authorization process;ERROR;0.89;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;process;test_register;Registration process;ERROR;0.89;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;process;test_UI;Home page;ERROR;1.63;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\1\test_UI.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;process;test_register;Registration process;ERROR;6.57;0;ConnectionRefused;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\3\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;process;test_filter;Application of filters process;ERROR;0.83;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\2\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;process;test_filter;Application of filters process;ERROR;14.51;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\3\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;process;test_register;Registration process;LOAD_ERROR;0.0;0;Other;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\2\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;3;process;test_addtocart;Add to cart process;ERROR;0.8;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\3\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;3;process;test_filter;Application of filters process;LOAD_ERROR;0.0;0;Other;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\3\test_filter.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;3;process;test_login;Authorization process;ERROR;0.81;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\3\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;3;process;test_register;Registration process;ERROR;1.0;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\3\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;process;test_addtocart;Add to cart process;ERROR;24.71;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\3\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;process;test_UI;Home page;ERROR;39.88;2;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\medium\1\test_UI.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_art;Product pages;ERROR;8.96;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;process;test_addtocart;Add to cart process;ERROR;24.47;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\2\test_addtocart.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;process;test_login;Authorization process;ERROR;24.45;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\zeroshot\detailed\2\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_home;Home page;ERROR;4.07;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_accessories;Product pages;ERROR;1.62;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_accessories;Product pages;FAIL;23.57;2;AssertionError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_clothes;Product pages;ERROR;0.01;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_register;Registration process;ERROR;12.44;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_login;Authorization process;ERROR;2.37;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_register;Registration process;ERROR;1.7;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_home;Home page;ERROR;12.98;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_clothes;Product pages;ERROR;23.91;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_art;Product pages;ERROR;2.5;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_home;Home page;ERROR;4.1;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_login;Authorization process;ERROR;3.97;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_register;Registration process;ERROR;5.35;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_accessories;Product pages;ERROR;0.83;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_art;Product pages;ERROR;51.07;3;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_clothes;Product pages;ERROR;1.63;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_home;Home page;ERROR;48.69;2;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;2;ui;test_art;Product pages;FAIL;147.86;6;AssertionError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\2\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_login;Authorization process;ERROR;152.11;7;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_register;Registration process;ERROR;0.84;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_art;Product pages;ERROR;1.82;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_art.py
