Key;Item Type;Publication Year;Author;Title;CitationCount;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
ERK7TJ53;journalArticle;2023;"Quanjun Zhang; Tongke Zhang; Jun Zhai; Chunrong Fang; Bo Yu; Weisong Sun; Zhenyu Chen";A Critical Review of Large Language Model on Software Engineering: An   Example from ChatGPT and Automated Program Repair;;arXiv.org;;;10.48550/arxiv.2310.08879;;Large Language Models (LLMs) have been gaining increasing attention and demonstrated promising performance across a variety of Software Engineering (SE) tasks, such as Automated Program Repair (APR), code summarization, and code completion. For example, ChatGPT, the latest black-box LLM, has been investigated by numerous recent research studies and has shown impressive performance in various tasks. However, there exists a potential risk of data leakage since these LLMs are usually close-sourced with unknown specific training details, e.g., pre-training datasets. In this paper, we seek to review the bug-fixing capabilities of ChatGPT on a clean APR benchmark with different research objectives. We first introduce {\benchmark}, a new benchmark with buggy and the corresponding fixed programs from competitive programming problems starting from 2023, after the training cutoff point of ChatGPT. The results on {\benchmark} show that ChatGPT is able to fix 109 out of 151 buggy programs using the basic prompt within 35 independent rounds, outperforming state-of-the-art LLMs CodeT5 and PLBART by 27.5\% and 62.4\% prediction accuracy. We also investigate the impact of three types of prompts, i.e., problem description, error feedback, and bug localization, leading to additional 34 fixed bugs. Besides, we provide additional discussion from the interactive nature of ChatGPT to illustrate the capacity of a dialog-based repair workflow with 9 additional fixed bugs. Inspired by the findings, we further pinpoint various challenges and opportunities for advanced SE study equipped with such LLMs (e.g.,~ChatGPT) in the near future. More importantly, our work calls for more research on the reevaluation of the achievements obtained by existing black-box LLMs across various SE tasks, not limited to ChatGPT on APR.;2023-10-13;30.04.2025 13:51;05.05.2025 11:53;;;;;;;;;;;;;;;;;;;;;;ARXIV_ID: 2310.08879 DOI: 10.48550/arxiv.2310.08879 MAG ID: 4387687220 S2ID: b33ee4c8c707db84fc0cf8176a9d8e3ae69e3378;;C:\Users\DK00747\Zotero\storage\62W2E2JQ\Quanjun Zhang et al. - 2023 - A Critical Review of Large Language Model on Software Engineering An   Example from ChatGPT and Aut.pdf;;"1. LLM; 1.1. Transformer-based Models; 1.2. Multimodal Models; 1.3. Fine-tuned / Instruction-tuned; 4. Software Engineering; 4.1. Development Task Automation; 4.1.2. Code Repair / Refactoring; 5. Prompt Engineering; 5.1. Prompting Strategies";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIFTJETL;journalArticle;2022;"Khaliq, Zubair; Khaliq, Zubair; Farooq, Sheikh Umar; Farooq, Sheikh Umar; Khan, Dawood Ashraf; Khan, Dawood Ashraf";A Deep Learning-based automated framework for functional User Interface testing;;Information & Software Technology;;;10.1016/j.infsof.2022.106969;;;2022;30.04.2025 13:51;05.05.2025 11:54;;;;;;;;;;;;;;;;;;;;;;PMID: null tex.mag_id: 4281716368 tex.pmcid: null;;C:\Users\DK00747\Zotero\storage\XUHDTIG5\Khaliq et al. - 2022 - A Deep Learning-based automated framework for functional User Interface testing.pdf;;"2. ML; 2.2. Deep Learning; 2.2.1. CNN / RNN / LSTM; 3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.1.4. Test Repair; 3.2. Test Data Generation; 3.2.1. Test Oracle; 3.2.3. Test Datasets (HTML, Screenshots, UML); 3.3. Functional Testing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3JFLGF5I;conferencePaper;2024;"Taromirad, Masoumeh; Runeson, Per";A literature survey of assertions in software testing;6;International Conference on Engineering of Computer-Based Systems;;;;https://link.springer.com/chapter/10.1007/978-3-031-49252-5_8;;2024;30.04.2025 12:07;05.05.2025 11:57;30.04.2025 12:07;75–96;;;;;;;;;;;Springer;;;;;;;Google Scholar;;;;C:\Users\DK00747\Zotero\storage\FSJ9YR33\Taromirad and Runeson - 2024 - A literature survey of assertions in software test.pdf;;"3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.1.6. Failure Detection; 3.2. Test Data Generation; 3.2.1. Test Oracle; 3.3. Functional Testing; 3.5. Robustness / Non-functional Testing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YI8E4MGG;journalArticle;2023;"Belgacem, Hichem; Li, Xiaochen; Bianculli, Domenico; Briand, Lionel";A Machine Learning Approach for Automated Filling of Categorical Fields in Data Entry Forms;14;ACM Transactions on Software Engineering and Methodology;;1049-331X, 1557-7392;10.1145/3533021;https://dl.acm.org/doi/10.1145/3533021;"Users frequently interact with software systems through data entry forms. However, form filling is time-consuming and error-prone. Although several techniques have been proposed to auto-complete or pre-fill fields in the forms, they provide limited support to help users fill categorical fields, i.e., fields that require users to choose the right value among a large set of options.             In this article, we propose LAFF, a learning-based automated approach for filling categorical fields in data entry forms. LAFF first builds Bayesian Network models by learning field dependencies from a set of historical input instances, representing the values of the fields that have been filled in the past. To improve its learning ability, LAFF uses local modeling to effectively mine the local dependencies of fields in a cluster of input instances. During the form filling phase, LAFF uses such models to predict possible values of a target field, based on the values in the already-filled fields of the form and their dependencies; the predicted values (endorsed based on field dependencies and prediction confidence) are then provided to the end-user as a list of suggestions.             We evaluated LAFF by assessing its effectiveness and efficiency in form filling on two datasets, one of them proprietary from the banking domain. Experimental results show that LAFF is able to provide accurate suggestions with a Mean Reciprocal Rank value above 0.73. Furthermore, LAFF is efficient, requiring at most 317 ms per suggestion.";2023-04-30;04.05.2025 10:39;05.05.2025 11:57;04.05.2025 10:39;1-40;;2.0;32.0;;ACM Trans. Softw. Eng. Methodol.;;;;;;;;en;;;;;DOI.org (Crossref);;;;C:\Users\DK00747\Zotero\storage\SNVSBCKS\Belgacem et al. - 2023 - A Machine Learning Approach for Automated Filling of Categorical Fields in Data Entry Forms.pdf;;"2. ML; 2.1. Traditional Machine Learning; 4. Software Engineering; 4.1. Development Task Automation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYVG5S6D;journalArticle;2024;"Ricca, Filippo; Marchetto, Alessandro; Marchetto, A.; Stocco, Andrea";A multi-year grey literature review on AI-assisted test automation;;arXiv.org;;;10.48550/arxiv.2408.06224;;Context: Test Automation (TA) techniques are crucial for quality assurance in software engineering but face limitations such as high test suite maintenance costs and the need for extensive programming skills. Artificial Intelligence (AI) offers new opportunities to address these issues through automation and improved practices. Objectives: Given the prevalent usage of AI in industry, sources of truth are held in grey literature as well as the minds of professionals, stakeholders, developers, and end-users. This study surveys grey literature to explore how AI is adopted in TA, focusing on the problems it solves, its solutions, and the available tools. Additionally, the study gathers expert insights to understand AI's current and future role in TA. Methods: We reviewed over 3,600 grey literature sources over five years, including blogs, white papers, and user manuals, and finally filtered 342 documents to develop taxonomies of TA problems and AI solutions. We also cataloged 100 AI-driven TA tools and interviewed five expert software testers to gain insights into AI's current and future role in TA. Results: The study found that manual test code development and maintenance are the main challenges in TA. In contrast, automated test generation and self-healing test scripts are the most common AI solutions. We identified 100 AI-based TA tools, with Applitools, Testim, Functionize, AccelQ, and Mabl being the most adopted in practice. Conclusion: This paper offers a detailed overview of AI's impact on TA through grey literature analysis and expert interviews. It presents new taxonomies of TA problems and AI solutions, provides a catalog of AI-driven tools, and relates solutions to problems and tools to solutions. Interview insights further revealed the state and future potential of AI in TA. Our findings support practitioners in selecting TA tools and guide future research directions.;2024;30.04.2025 13:51;05.05.2025 11:57;;;;;;;;;;;;;;;;;;;;;;PMID: null tex.mag_id: null tex.pmcid: null;;C:\Users\DK00747\Zotero\storage\GJQKVLIB\Ricca et al. - 2024 - A multi-year grey literature review on AI-assisted test automation.pdf;;"1. LLM; 1.1. Transformer-based Models; 1.3. Fine-tuned / Instruction-tuned; 2. ML; 2.2. Deep Learning; 2.2.1. CNN / RNN / LSTM; 2.5. Reinforcement Learning Strategies; 3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.1.2. Test Optimization; 3.1.4. Test Repair; 3.2. Test Data Generation; 3.2.1. Test Oracle";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8E66R2Q9;journalArticle;2024;"Naimi, Lahbib; Bouziane, El Mahi; Manaouch, Mohamed; Jakim, Abdeslam";A new approach for automatic test case generation from use case diagram using LLMs and prompt engineering;;IEEE International Conference on Circuits and Systems for Communications;;;10.1109/iccsc62074.2024.10616548;;The automation of test case generation from UML diagrams is a growing field that aims to make the software development process smoother. This paper suggests a new framework that uses generative artificial intelligence (AI) to turn use case diagrams into test cases that can be executed. By getting information from the XML representation of use case diagrams, we can create detailed instructions that guide a generative AI model to make test cases for each use case scenario. This method not only makes test case creation easier but also ensures we cover everything well and accurately, which could make software products get to market faster. this approach shows how traditional software engineering methods and new AI techniques can work well together, giving us an idea of what automated software testing might look like in the future.;2024;30.04.2025 13:51;05.05.2025 11:57;;;;;;;;;;;;;;;;;;;;;;PMID: null tex.mag_id: null tex.pmcid: null;;;;"1. LLM; 1.1. Transformer-based Models; 3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.1.2. Test Optimization; 5. Prompt Engineering; 5.1. Prompting Strategies; 5.4. Visual / GUI-based Prompting";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3C8BHVI7;conferencePaper;2024;"Sun, J.; Wang, J.; Zhu, Y.; Li, X.; Xie, Y.; Chen, J.";A Noval Approach to Automated Test Script Generation using Large Language Models for Domain-Specific Language;0;;;;;;This paper presents a novel method for generating automated test scripts for Domain-Specific Languages (DSLs) in software testing, particularly for the automotive industry. It emphasizes the growing importance of software testing in ensuring product quality amid IT advancements. The paper reviews software testing's evolution, modern processes, and the role of Large Language Models (LLMs). It highlights DSLs' significance and uses the automotive sector to show how LLMs can automate test script generation. Tests indicate that in cases with a small sample size, the effectiveness of prompt engineering is superior to model fine-tuning. The proposed method thus relies on well-designed prompts to direct LLMs to produce accurate scripts. The generation system's overview is discussed, along with an evaluation of the scripts' quality using metrics like Levenshtein Distance. Results indicate that LLMs boost test automation, defect detection, and software reliability. Future work will optimize these tools for higher testing automation levels. © 2024 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).;2024;30.04.2025 12:08;05.05.2025 11:57;;52-57;;;3864.0;;;;;;;;;;;;;Scopus;;Scopus;;;;"C:\Users\DK00747\Zotero\storage\4583Z7BY\Sun et al. - 2024 - A Noval Approach to Automated Test Script Generation using Large Language Models for Domain-Specific.pdf; C:\Users\DK00747\Zotero\storage\26QFJM32\display.html";;"1. LLM; 1.1. Transformer-based Models; 3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.1.2. Test Optimization; 3.1.6. Failure Detection; 3.1.8. Test Quality Analysis; 5.1. Prompting Strategies; 5.2. Few-shot / Zero-shot";"domain-specific languages; large language models; Levenshtein Distance; software testing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CEUR Workshop Proceedings;;;;;;;;;;;;;;;
KFG69I9R;conferencePaper;2023;"Chang, Xiaoning; Liang, Zheheng; Zhang, Yifei; Cui, Lei; Long, Zhenyue; Wu, Guoquan; Gao, Yu; Chen, Wei; Wei, Jun; Huang, Tao";A reinforcement learning approach to generating test cases for web applications;8;2023 IEEE/ACM International Conference on Automation of Software Test (AST);;;;https://ieeexplore.ieee.org/abstract/document/10173983/;;2023;04.05.2025 10:40;05.05.2025 12:01;04.05.2025 10:40;13–23;;;;;;;;;;;IEEE;;;;;;;Google Scholar;;;;C:\Users\DK00747\Zotero\storage\4BMK6H9I\Chang et al. - 2023 - A reinforcement learning approach to generating test cases for web applications.pdf;;"2. ML; 2.5. Reinforcement Learning Strategies; 3. Software Testing; 3.1. Test Automation; 3.1.1. Test Generation; 3.3. Functional Testing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C6PE82AW;journalArticle;2022;"Pham, Phuoc; Nguyen, Vu; Nguyen, Tien N.";A review of AI-augmented end-to-end test automation tools;;International Conference on Automated Software Engineering;;;10.1145/3551349.3563240;;Software testing is a process of evaluating and verifying whether a software product still works as expected, and it is repetitive, laborious, and time-consuming. To address this problem, automation tools have been developed to automate testing activities and enhance quality and delivery time. However, automation tools become less effective with continuous integration and continuous delivery (CI/CD) pipelines when the system under test is constantly changing. Recent advances in artificial intelligence and machine learning (AI/ML) present the potential for addressing important challenges in test automation. AI/ML can be applied to automate various testing activities such as detecting bugs and errors, maintaining existing test cases, or generating new test cases much faster than humans.;2022;30.04.2025 13:51;05.05.2025 12:02;;;;;;;;;;;;;;;;;;;;;;PMID: null tex.mag_id: 4313563555 tex.pmcid: null;;C:\Users\DK00747\Zotero\storage\D3UGLAWW\Pham et al. - 2022 - A review of AI-augmented end-to-end test automation tools.pdf;;"3. Software Testing; 3.1. Test Automation; 3.1.9. Automated testing tools; 4. Software Engineering; 4.2. Development Process Automation; 4.2.1. CI/CD; 4.2.4. Low-code / No-code Development";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UW5NXVD9;journalArticle;2024;"Wang, Qing; Wang, Junjie; Li, Mingyang; Wang, Yawen; Liu, Zhe";A roadmap for software testing in open-collaborative and AI-powered era;;ACM Transactions on Software Engineering and Methodology;;;10.1145/3709355;;Internet technology has given rise to an open-collaborative software development paradigm, necessitating the open-collaborative schema to software testing. It enables diverse and globally distributed contributions, but also presents significant challenges to efficient testing processes, coordination among personnel, and management of testing artifacts. At the same time, advancements in artificial intelligence (AI) have enhanced testing capabilities and enabling automation, while also introducing new testing needs and unique challenges for AI-based systems. In this context, this paper explores software testing in the open-collaborative and AI-powered era, focusing on the interrelated dimensions of process, personnel, and technology. Among them, process involves managing testing workflows and artifacts to improve efficiency, personnel emphasizes the role of individuals in ensuring testing quality through collaboration and contributions, while technology refers to AI methods that enhance testing capabilities and address challenges in AI-based systems. Furthermore, we delve into the challenges and opportunities arising from emerging technologies such as large language models (LLMs) and the AI model-centric development paradigm.;2024;30.04.2025 13:51;05.05.2025 12:02;;;;;;;;;;;;;;;;;;;;;;PMID: null tex.mag_id: null tex.pmcid: null;;C:\Users\DK00747\Zotero\storage\FXESBA5B\Wang et al. - 2024 - A roadmap for software testing in open-collaborative and AI-powered era.pdf;;"3. Software Testing; 3.1. Test Automation; 3.1.2. Test Optimization; 3.1.8. Test Quality Analysis; 4. Software Engineering; 4.1. Development Task Automation; 4.1.1. Code Generation; 4.1.6. Requirement Generation; 4.1.5. Requirement Classification";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
